test;Study_ID;tp;fp;fn;tn;Indirect
CT;Achenbach 2005;25;4;0;19;1
CT;Alkadhi 2008;57;12;2;79;1
CT;Andreini 2007;17;0;0;44;1
CT;Bayrak 2008;64;4;0;32;1
MRI;Bedaux 2002;7;1;0;1;1
MRI;Bogaert 2003;12;3;3;1;1
CT;Bonmassari 2006;12;2;0;8;1
CT;Brodoefel 2008;73;5;0;22;1
CT;Budoff 2008;52;30;3;142;1
CT;Cademartiri 2007;20;1;0;51;1
CT;Carrascosa 2007;13;1;1;5;1
MRI;Cheng 2006;21;0;4;3;1
CT;Chow 2007;18;0;1;7;1
CT;Coles 2007;77;13;7;16;1
CT;Cornily 2007;9;1;0;23;1
CT;Davin 2007;42;4;12;30;1
CT;Deetjen 2007;31;3;2;26;1
CT;Dewey 2006;62;5;4;46;0
MRI;Dewey 2006;42;2;7;39;0
CT;Dewey 2009;11;1;0;17;1
CT;Ehara 2006;59;1;1;6;1
CT;Erdogan 2006;33;2;3;5;1
CT;Garcia 2006;58;58;1;70;1
CT;Gaudio 2008;16;2;1;48;1
MRI;Gerber 2005;17;1;2;6;1
CT;Ghersin 2006;29;11;6;13;1
CT;Ghostine 2006;28;2;1;35;1
CT;Gilard 2006;11;9;0;35;1
CT;Grosse 2007;29;0;1;10;1
MRI;Hackenbroch 2004;18;5;4;13;1
CT;Hacker 2007;19;1;1;9;1
CT;Halon 2007;72;10;13;16;1
CT;Hausleiter 2007;101;35;1;106;1
CT;Henneman 2006;12;1;1;6;1
CT;Henneman 2008;28;0;0;12;1
CT;Herzog 2007a;19;6;0;30;1
CT;Herzog 2007b;16;1;0;23;1
CT;Herzog 2008;18;2;0;10;1
CT;Hoffmann 2004;19;3;2;9;1
CT;Hoffmann 2005;43;2;2;28;1
MRI;Ichikawa 2007;11;8;6;33;1
MRI;Ikonen 2003;42;15;5;7;1
CT;Johnson 2007;17;2;0;16;1
CT;Kaiser 2005;97;18;16;18;1
CT;Kefer 2005;32;6;2;12;0
MRI;Kefer 2005;30;9;4;9;0
MRI;Kim 2001;56;25;4;18;1
MRI;Klein 2008;20;11;2;13;1
CT;Kolnes 2006;33;8;1;8;1
CT;Laissy 2007;11;2;2;25;1
CT;Langer 2009;25;2;1;40;0
MRI;Langer 2009;18;15;8;27;0
CT;Leber 2007;20;7;1;60;1
CT;Leschka 2005;47;0;0;20;1
CT;Leschka 2008a;69;8;2;35;1
CT;Leschka 2008b;35;5;1;33;1
CT;Maintz 2007;15;2;1;2;0
MRI;Maintz 2007;15;1;1;3;0
CT;Manghat 2007;3;0;0;12;1
CT;Marano 2008;179;17;12;119;1
CT;Martuscelli 2004;43;9;0;9;1
CT;Maruyama 2008;75;5;2;65;1
MRI;McCarthy 2007;13;6;2;8;1
CT;Meijboom 2006;18;4;0;48;1
CT;Meijboom 2007;88;4;0;12;1
CT;Meijboom 2008;244;41;2;73;1
CT;Miller 2007;139;13;24;115;1
CT;Mir-Akbari 2009;41;11;10;20;1
CT;Mollet 2004;106;3;0;18;1
CT;Mollet 2005b;31;3;0;17;1
CT;Mollet 2005a;38;1;0;12;1
CT;Moon 2005;30;2;5;21;1
CT;Morgan-Hughes 2005;32;1;0;24;1
CT;Nikolaou 2006;4;3;1;52;1
CT;Nikolaou 2006b;38;6;1;23;1
CT;Olivetti 2006;15;0;3;13;1
CT;Oncel 2007a;62;0;0;18;1
CT;Oncel 2007b;8;1;1;5;1
CT;Pontone 2007a;66;7;0;43;1
CT;Pontone 2007b;56;5;4;31;1
CT;Postel 2007;42;5;5;34;1
CT;Pouleur 2008;16;7;1;53;0
MRI;Pouleur 2008;17;17;0;43;0
CT;Pugliese 2006;25;1;0;9;1
CT;Pundziute 2008;53;4;1;42;1
CT;Raff 2005;38;3;2;27;1
CT;Reant 2006;12;6;1;21;1
MRI;Regenfus 2000;34;6;2;8;1
CT;Rixe 2009;40;6;0;30;1
CT;Rodevand 2006;49;37;0;15;1
CT;Romeo 2007;43;2;0;123;1
CT;Ropers 2003;35;8;6;28;1
CT;Ropers 2006;25;5;1;50;1
CT;Ropers 2007;41;11;1;47;1
MRI;Sakuma 2006;42;6;9;56;1
MRI;Sandstede 1999;10;1;1;7;1
CT;Scheffel 2006;14;0;1;15;1
CT;Scheffel 2007;13;2;0;35;1
CT;Scheffel 2008;66;4;0;50;1
CT;Schuijf 2006;29;1;2;28;1
CT;Shabestari 2007;104;10;4;20;1
CT;Stolzmann 2008;55;2;0;43;1
CT;Tsai 2007;50;5;1;22;1
CT;Turkvatan 2008;116;2;2;33;1
CT;Ulimoen 2008;32;6;4;6;1
CT;Watkins 2007;44;3;1;37;1
CT;Weustink 2007;76;3;1;20;1
MRI;Yang 2009;32;5;2;23;1
